CountyName,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,GrainN_neg_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha
Howard,5431,367865,3275,22967,134000,128200,194.2,,,81000,81500,52.1,1/1/2019,73.7,57.1,174.97,-174.97,69.28,25.1
Plymouth,0,816396,0,77937,232000,216500,187.3,,,193500,195500,56.7,1/1/2014,66,62.45,188.43,-188.43,95.15,35.2
Plymouth,0,852377,0,82065,236500,200500,203.6,,,193600,194500,60.1,1/1/2015,71.51,64.81,203.79,-203.79,102.19,34.7
Plymouth,0,888359,0,86192,230500,202000,209.2,,,195200,196000,66.1,1/1/2016,76.28,68.4,218.61,-218.61,118.97,45
Plymouth,0,924340,0,90320,234000,211000,193,,,195400,196500,59.6,1/1/2017,77.71,70.64,197.56,-197.56,102.12,52.9
Plymouth,0,960321,0,94448,226500,214500,213.8,,,197500,201500,61.3,1/1/2018,69.99,73.94,208.92,-208.92,109.66,44.7
Plymouth,0,996303,0,98575,236500,231000,217.8,,,,,,1/1/2019,70.97,0,0,0,0,71
Humboldt,0,144990,0,8777,142500,139300,176.9,,,95900,96400,46.4,1/1/2014,87.57,17.99,159.03,-159.03,61.48,8
Humboldt,0,139664,0,9137,136000,133700,194.8,,,103000,103500,56.6,1/1/2015,86.6,17.54,187.51,-187.51,89.68,6.3
Humboldt,0,134339,0,9496,145000,140600,206.1,,,93600,94100,61,1/1/2016,92.56,17.16,196.57,-196.57,91.03,4.2
Humboldt,0,129013,0,9856,133500,132600,200.9,,,104400,105000,58,1/1/2017,94.37,16.79,193.22,-193.22,94.69,12.6
Humboldt,0,123687,0,10216,136500,131800,162.3,,,100200,102500,50.4,1/1/2018,84.8,16.34,161.98,-161.98,74.62,13.8
Humboldt,0,118362,0,10575,137000,134200,198.7,,,99700,100500,54.9,1/1/2019,85.82,16.03,185.16,-185.16,83.92,0.6
Pocahontas,1719,302749,1943,12794,184500,182900,174.8,,,140200,141000,47.8,1/1/2014,84.45,27.9,162.56,-162.56,69.28,19.1
Pocahontas,1738,334772,2014,12499,186000,181100,205.5,,,137900,138500,58,1/1/2015,89.43,30.36,194.32,-194.32,91.8,17.3
Pocahontas,1757,366796,2084,12203,185000,182500,206.8,,,135500,136000,60.6,1/1/2016,95.59,33.09,199.04,-199.04,97.08,26.7
Pocahontas,1776,398820,2155,11907,183500,180800,190.9,,,142200,143000,58.2,1/1/2017,97.46,34.89,189.43,-189.43,94.68,37.6
